Name,Type,Properties,Location,Description
Aberration Hunters' Amulet,Amulet,,Crèche Y'llek,"Advantage on Intelligence Saving Throws if you are Githyanki. 
Advantage on Attack Rolls against aberrations and aberrations have Disadvantage on Attack Rolls against you."
Absolute's Talisman,Amulet,,Goblin Camp,"Advantage on Death Saving Throws if you bear the Absolute's Brand
Cast Aid once per Long Rest. This casting of Aid only affects the caster."
Absolute's Warboard,Shield,🛡️ + 2 AC,Goblin Camp,"Gain a +1 bonus to Saving Throws if you bear the Absolute's Brand.
Cast Heroism once per Long Rest."
Abyss Beckoners,Gloves,,Zhentarim Hideout,"Your summoned creatures have resistance to all damage except Psychic.
At the start of your summoned creature's turn, it must succed a Wisdom Saving Throw or be driven Mad."
Adamantine Longsword,Longsword,"1h 🔪(1d8)
2h 🔪(1d10)",The Adamantine Forge,"This weapon ignores Resistance to Slashing damage.
If you hit an object with this weapon, the hit is always Critical."
Adamantine Mace,Mace,1h 🔨(1d6),The Adamantine Forge,"This weapon ignores Resistance to Bludgeoning damage. 
If you hit an object with this weapon, the hit is always Critical."
Adamantine Scale Mail,Medium Armour,🛡️ 16 AC,The Adamantine Forge,"Reduce all incoming damage by 1.
When a creature hits you with a melee attack, you send it Reeling for 2 turns.
Attackers can't land Critical Hits on you."
Adamantine Scimitar,Scimitar,1h 🔪(1d6),The Adamantine Forge,"This weapon ignores Resistance to Slashing damage.
If you hit an object with this weapon, the hit is always Critical."
Adamantine Shield,Shield,🛡️ + 2 AC,The Adamantine Forge,"When a creature misses a melee attack against you, you send it Reeling for 2 turns.
When you are hit with a melee attack, you can use your reaction to knock them Prone unless they succeed a Dexterity Saving Throw.
Attackers can't land Critical Hits on you."
Adamantine Splint Armour,Heavy Armour,🛡️ 18 AC,The Adamantine Forge,"Reduce all incoming damage by 2.
When a creature hits you with a melee attack, you send it Reeling for 3 turns.
Attackers can't land Critical Hits on you."
Amulet of Branding,Amulet,,Crèche Y'llek,Cast Brand the Weak once per Long Rest.
Amulet of Elemental Torment,Amulet,,Goblin Camp,"When you stand on certain surfaces and cast a spell that deals damage, the target also suffers the surface's effects."
Amulet of Misty Step,Amulet,,Goblin Camp,Cast Misty Step once per Short Rest.
Amulet of Restoration,Amulet,,Myconid Colony,"Cast Healing Word once per Long Rest.
Cast Mass Healing Word once per Long Rest."
Amulet of Selûne's Chosen,Amulet,,Shattered Sanctum,"Cast Selûne's Dream once per Long Rest. An ally you touch regains ❤️(1d8 + Spellcasting Modifier) Hit Points, but possibly falls Asleep. "
Amulet of Silvanus,Amulet,,Druid Grove,Cast Lesser Restoration once per Long Rest.
Amulet of the Unworthy,Amulet,,Underdark,"Resistance to Slashing damage
Vulnerability to Bludgeoning damage"
Armour of Uninhibited Kushigo,Clothing,🛡️ 10 AC,Grymforge,"While Patient Defence is active, you can use your Reaction to make an unarmed strike againts any attacker that misses."
Assassin's Touch,Dagger,1h 🏹(1d4 + 1),Goblin Camp,Deals an additional 💀(1d4) to creatures that are Knocked Out or Sleeping.
Beastmaster's Chain,Amulet,,Shattered Sanctum,Cast Animal Friendship once per Long Rest.
Blazer of Benevolence,Light Armour,🛡️ 11 AC,Goblin Camp,Gain ❤️(4) Temporary Hit Points when you inspire an ally using Bardic Inspiration.
Blooded Greataxe,Greataxe,2h 🔪(1d12),Goblin Camp,Deal an additional 🔪(1d4) while you're at 50% Hit Points or less.
Bloodguzzler Garb,Clothing,🛡️ 10 AC,Underdark,Gain Wrath for 1 turn whenever you are hit.
Boots of Aid and Comfort,Boots,,Goblin Camp,"When you heal a creature, they gain an additional ❤️(3) Temporary Hit Points."
Boots of Elemental Momentum,Medium Boots,,Rosymorn Monastery Trail,"When you deal Acid, Cold, Fire, Lightning or Thunder damage with Spells or Cantrips, gain Momentum for 2 turns.
Athletics +1"
Boots of Genial Striding,Boots,,Myconid Colony,Your Movement Speed is unimpeded by Difficult Terrain.
Boots of Speed,Boots,,Myconid Colony,Cast Click Heels
Boots of Stormy Clamour,Boots,,Myconid Colony,"When you inflict a condition on a creature, you also inflict Reverberation for 2 turns."
Boots of Striding,Medium Boots,,Goblin Camp,"When you cast a spell that requires Concentration, you gain Momentum for 2 turns. 
While you are concentrating, you cannot be pushed or get knocked Prone.
Athletics +1"
Bow of Awareness,Shortbow,2h 🏹(1d6 + 1),Shattered Sanctum,Gain a +1 bonus to Initiative Rolls.
Bow of the Banshee,Shortbow,2h 🏹(1d6 + 1),Grymforge,"Gain 🎲(1d4) bonus to attack and damage rolls against Frightened creatures.
When you a hit with this weapon, possibly inflict Frightened."
Bracers of Defence,Gloves,,Blighted Village,Gain a 🛡️ + 2 AC when not wearing armour or holding a shield.
Bracing Band,Ring,,Grymforge,Gain 🛡️ + 1 AC until your next turn after shoving an enemy.
Broodmother's Revenge,Amulet,,Druid Grove,"When you are healed, your weapon deals an additional 🐍(1d4) for 3 turns."
Browbeaten Circlet,Helmet,,Sunlit Wetlands,Gain a +1 bonus to Spell Save DC while Threatened.
Cacophony,Quarterstaff,"1h 🔨(1d6 + 1) + ⛈️(1d4)
2h 🔨(1d8 + 1) + ⛈️(1d4)",Rosymorn Monastery Trail,Cast Thunderous Smite once per Short Rest
Callous Glow Ring,Ring,,Gauntlet of Shar,Deal an additional ☀️(2) against creatures that are illuminated.
Cap of Curing,Helmet,,Druid Grove,"When you inspire an ally using Bardic Inspiration, they regain ❤️(1d6) Hit Points."
Cap of Wrath,Helmet,,Grymforge,"If you start your turn with 50% Hit Points or less, gain Wrath for 2 turn."
